DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
GestureMultiAngle,14,1249,1,1,2,NE_SE,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,54,166,315,301,-1,8.702,9.247,3,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1250,1,2,3,N_E,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,246,360,360,-1,1.612,2.148,1,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1251,1,3,1,N_E,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,80,360,356,-1,51.514,51.942,3,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1252,1,4,1,S_W,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,91,180,181,-1,3.651,4.004,3,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1253,1,5,2,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,272,139,-1,-1,-1,2.571,2.778,1,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1254,1,6,1,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,92,97,-1,-1,-1,2.088,2.315,1,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1255,1,7,2,S_W,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,143,180,180,-1,3.264,3.692,2,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1256,1,8,3,S_W,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,268,193,180,177,-1,2.22,2.675,2,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1257,1,9,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,97,132,-1,-1,-1,2.031,2.284,1,-1,-1,-1,-1,-1,-1,NaN
GestureMultiAngle,14,1258,1,10,4,NE_SE,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,47,257,315,314,-1,9.636,10.057,9,-1,-1,-1,-1,-1,-1,NaN
